Learning Rate, Iterations, Test MSE, Training MSE, Test R^2, Training R^2
1e-05,1000,3.1320012659366556,3.656442565533355,0.8805154289945807,0.8700787550857236
1e-05,5000,3.0968118032671574,3.627434296567686,0.8818578926444857,0.8711094810849103
1e-05,7500,3.0920517976250617,3.6207967233957348,0.8820394849185101,0.8713453282927506
1e-05,10000,3.087340662465064,3.6142055218301365,0.882219212803573,0.8715795278179819
1e-05,25000,3.0599923545815715,3.5756141048519097,0.8832625395961649,0.8729507636153329
1e-05,50000,3.017757376658395,3.5147951072375356,0.8848737867797016,0.8751117930155978
1e-05,75000,2.9794261100429305,3.458093829895379,0.8863361089688574,0.8771265109849059
1e-05,100000,2.944698287447665,3.4052314846029383,0.887660961238196,0.8790048234666118
5e-05,1000,3.0968115993726775,3.6274342591019675,0.8818579004229768,0.8711094824161476
5e-05,5000,3.0599922303748297,3.5756139282533277,0.8832625443346014,0.8729507698902592
5e-05,7500,3.0383670715537785,3.5446714368423393,0.8840875353244708,0.8740502229605083
5e-05,10000,3.017757151023319,3.514794777953431,0.8848737953875877,0.8751118047157682
5e-05,25000,2.9132947917547223,3.3559474912869662,0.8888589917919352,0.8807559894294837
5e-05,50000,2.7977248921529414,3.1552862238022152,0.8932679363301259,0.8878859145439761
5e-05,75000,2.7335109785656577,3.0139573015987957,0.8957176709458178,0.892907634203446
5e-05,100000,2.702705353680554,2.91441709385687,0.896892892972061,0.8964445112299747
1e-06,1000,3.8478789126213604,4.404152556584025,0.8532049887221658,0.8435110157787136
1e-06,5000,3.245073238876281,3.782526411720421,0.8762017793398488,0.8655987256673443
1e-06,7500,3.1644814765546685,3.690061782874293,0.8792763222055551,0.8688841922034427
1e-06,10000,3.13207781632924,3.6565121371101434,0.8805125086283223,0.8700762830584171
1e-06,25000,3.1023656623873763,3.634157452182501,0.8816460151840193,0.8708705929493594
1e-06,50000,3.0968118499151336,3.6274343049985918,0.8818578908648843,0.8711094807853421
1e-06,75000,3.09205180694092,3.6207967359156847,0.882039484563114,0.87134532784789
1e-06,100000,3.087340674301673,3.6142055384067597,0.8822192123520112,0.871579527228979
5e-06,1000,3.244945202514343,3.7824052962628825,0.876206663874841,0.8656030291592602
5e-06,5000,3.102364015578895,3.6341572867425582,0.8816460780090913,0.8708705988277954
5e-06,7500,3.099258391478247,3.6307708037300053,0.881764556301998,0.8709909278309143
5e-06,10000,3.096811829147433,3.6274343012514443,0.8818578916571637,0.8711094809184863
5e-06,25000,3.0826738692906934,3.6076603780254706,0.8823972490599676,0.871812090812205
5e-06,50000,3.059992370107345,3.575614126926637,0.8832625390038629,0.8729507628309705
5e-06,75000,3.0383672713516767,3.544671724587155,0.8840875277022624,0.8740502127363179
5e-06,100000,3.0177574048626488,3.514795148397854,0.8848737857037208,0.8751117915530835
5e-07,1000,4.076292193914335,4.6014847921113455,0.8444911151921468,0.8364993783081583
5e-07,5000,3.4755857713705303,4.041674845005319,0.8674078202326161,0.856390626137126
5e-07,7500,3.328431450216768,3.8790583623647663,0.8730216975722833,0.8621687384661404
5e-07,10000,3.245089246102984,3.7825415493611048,0.8762011686706781,0.865598187794511
5e-07,25000,3.117722037326107,3.644059629172754,0.8810601757427303,0.8705187473675193
5e-07,50000,3.102365868370778,3.6341574728984307,0.8816460073258365,0.870870592213278
5e-07,75000,3.0992585941226047,3.6307708085230397,0.8817645485711985,0.8709909276606074
5e-07,100000,3.0968118525150303,3.627434305466932,0.8818578907656993,0.871109480768701
1e-08,1000,48.15193103283392,52.103359729518296,-0.8369765316234903,-0.8513440971519719
1e-08,5000,8.420515683867016,8.856204253128322,0.6787607607079414,0.6853200724038437
1e-08,7500,5.3343121077128846,5.684854273883323,0.796498168525332,0.7980049375364848
1e-08,10000,4.596165498690865,4.993604730067365,0.8246581606292065,0.8225665160843199
1e-08,25000,4.227721286417273,4.724820383603468,0.838714157068842,0.8321170002722114
1e-08,50000,4.076324670467619,4.601501934785133,0.8444898762248836,0.8364987691921995
1e-08,75000,3.9519321264593934,4.495798008359694,0.849235401049137,0.8402546563605015
1e-08,100000,3.8479620818622258,4.404197966045721,0.8532018158495447,0.8435094022831674
